Airport name,Last update,IATA airport code,ICAO airport code,Country,Continent,Address,Location,Also known as,Number of terminals,Number of passengers 2023,Airport operator,Good to know,Money-saving tip,App public transport tickets,Google airport score,Number of reviews,Car rental - Location car rental companies,Car rental EUR,Car rental GBP,Car rental USD,Car rental populair,Number of destinations,Destination 1,City centre 1,Distance to city centre km 1,Distance to city centre miles 1,Transport options including taxi 1,Fastest 11,Fastest 12,Fastest 13,Cheapest 11,Cheapest 12,Cheapest 13,Taxi - Travel time to city centre 1,Taxi fare 1,Transportation option 11,Location station/stop at airport 11,Service name 11,Operator 11,Main stations 11,Timetable link 11,Buy tickets 11,Travel time 11,Frequency 11,One-way adults 11,One-way children 11,Transportation option 12,Location station/stop at airport 12,Service name 12,Operator 12,Main stations 12,Timetable link 12,Buy tickets 12,Travel time 12,Frequency 12,One-way adults 12,One-way children 12,Transportation option 13,Location station/stop at airport 13,Service name 13,Operator 13,Main stations 13,Timetable link 13,Buy tickets 13,Travel time 13,Frequency 13,One-way adults 13,One-way children 13,Destination 2,City centre 2,Distance to city centre km 2,Distance to city centre miles 2,Transport options including taxi 2,Fastest 21,Fastest 22,Fastest 23,Cheapest 21,Cheapest 22,Cheapest 23,Taxi - Travel time to city centre 2,Taxi fare 2,Transportation option 21,Location station/stop at airport 21,Service name 21,Operator 21,Main stations 21,Timetable link 21,Buy tickets 21,Travel time 21,Frequency 21,One-way adults 21,One-way children 21,Transportation option 22,Location station/stop at airport 22,Service name 22,Operator 22,Main stations 22,Timetable link 22,Buy tickets 22,Travel time 22,Frequency 22,One-way adults 22,One-way children 22,Transportation option 23,Location station/stop at airport 23,Service name 23,Operator 23,Main stations 23,Timetable link 23,Buy tickets 23,Travel time 23,Frequency 23,One-way adults 23,One-way children 23,Destination 3,City centre 3,Distance to city centre km 3,Distance to city centre miles 3,Transport options including taxi 3,Fastest 31,Fastest 32,Fastest 33,Cheapest 31,Cheapest 32,Cheapest 33,Taxi - Travel time to city centre 3,Taxi fare 3,Transportation option 31,Location station/stop at airport 31,Service name 31,Operator 31,Main stations 31,Timetable link 31,Buy tickets 31,Travel time 31,Frequency 31,One-way adults 31,One-way children 31,Transportation option 32,Location station/stop at airport 32,Service name 32,Operator 32,Main stations 32,Timetable link 32,Buy tickets 32,Travel time 32,Frequency 32,One-way adults 32,One-way children 32,Transportation option 33,Location station/stop at airport 33,Service name 33,Operator 33,Main stations 33,Timetable link 33,Buy tickets 33,Travel time 33,Frequency 33,One-way adults 33,One-way children 33
Amsterdam Airport Schiphol,May 2024,AMS,EHAM,Netherlands,Europe,"Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",southwest of Amsterdam,Amsterdam Airport and Schiphol Airport,1,"61,887,628",Schiphol Group,"In the Netherlands travelling with an OV-chipkaart is cheaper than buying single tickets. Check in and out with your debit card, credit card or mobile is another option (called OVpay).",,,3.9,81.9,"Schiphol Plaza, near Arrivals 3",20,17,22,no,1,Amsterdam,Dam Square,17,10.6,3,Public transport Train,16 minutes,4.90 EUR per person,Public transport Train,16 minutes,4.90 EUR per person,25 minutes,66 EUR,Public transport Train,"Schiphol Airport train station, below Schiphol Plaza",Airport Sprinter,NS Nederlandse Spoorwegen,"Amsterdam Lelylaan, Amsterdam Sloterdijk and Amsterdam Centraal",https://www.ns.nl/en,NTRA,16 minutes to Amsterdam Centraal railway station,8 times per hour,4.90 EUR,2.50 EUR,Public transport Bus,Bus stop B17-B19 in front of the airport,Bus 397 (Amsterdam Airport Express),Connexxion,"Olympic Stadium, Concertgebouw, Museumplein and Leidseplein",https://www.connexxion.nl/en/our-routes/special-routes/amsterdam-airport-express,AAER,35 minutes to Leidseplein (city centre),every 7.5 to 15 minutes,6.50 EUR,1.00 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin Brandenburg Airport,Mar 2026,BER,EDDB,Germany,Europe,"Melli-Beese-Ring 1, 12529 Schönefeld, Germany",southeast of Berlin,Berlin Brandenburg Airport Willy Brandt,2 (T1 and T2),"23,071,865",,"Berlin Ostkreuz, one of the biggest railway stations in Berlin, can be reached with the regional trains RB24  and RB32. Travel time is only 18 minutes, frequecny is every 30 minutes.",,,3.1,39.1,"Arrivals hall Terminal 1 (Ankunft 2, Ebene E0)",18,15,20,no,1,Berlin,Alexanderplatz,27,16.8,4,Public transport Train,19 minutes,5.00 EUR per person,Public transport Train,19 minutes,5.00 EUR per person,45 minutes,69 EUR,Public transport Train,"Bahnhof Flughafen BER, located under Terminal 1",FEX Flughafen-Express (and RE20),Deutsche Bahn,"Südkreuz, Potsdamer Platz and Berlin Hauptbahnhof",https://www.bahn.de/,,19 minutes to Potsdamer Platz (city centre),every 15 minutes,5.00 EUR,3.50 EUR (from 6 up to 14 years),Public transport S-Bahn,"Bahnhof Flughafen BER, located under Terminal 1",S-Bahn S9,S-Bahn Berlin,"Ostbahnhof, Alexanderplatz, Friedrichstraße, Berlin Hauptbahnhof, Messe Süd, Olympiastadion Berlin and Spandau",https://sbahn.berlin/en/,,43 minutes to Alexanderplatz (city centre),every 20 to 30 minutes,5.00 EUR,3.50 EUR,Public transport Bus + metro,Flughafen BER bus stop in front of T1 Arrivals,Bus line X7/X71 + metro U7,BVG,"Rudow, Neukölln, Kreuzberg and Möckernbrücke",https://www.bvg.de/en/connections/route-overview,,44 minutes to Möckernbrücke (south of city centre),every 10 minutes,5.00 EUR,3.50 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madrid Barajas Airport,Feb 2024,MAD,LEMD,Spain,Europe,"Avenida de la Hispanidad s/n, 28042 Madrid, Spain",northeast of Madrid,Adolfo Suárez Madrid Barajas Airport and Madrid Airport,"5 (T1, T2, T3, T4 and T4S)","60,220,984",Aena,"The train is the most budget-friendly option for traveling to and from Madrid Barajas Airport, however the railway station it is only accessible from Terminal 4.",,,4.1,34.8,Arrivals at Terminal 1 and Terminal 4,8,7,9,yes,1,Madrid,Plaza Puerta del Sol,17,10.6,4,Taxi,25 minutes,33 EUR,Public transport Train,30 minutes,2.60 EUR per person,25 minutes,33 EUR,Public transport Metro + metro,Aeropuerto T1-T2-T3 metro station and Aeropuerto T4 metro station,Metro line 8 + metro line 10,Metro de Madrid,"Nuevos Ministerios, Tribunal and Plaza de España",https://www.metromadrid.es/en/linea/linea-8#line-timetable,,30 minutes to Plaza de España (city centre),every 5 minutes,5.00 EUR,5.00 EUR,Public transport Train,Aeropuerto T4 railway station,Suburban train C-1/C-10,Renfe Cercanías Madrid,"Chamartín, Nuevos Ministerios, Sol, Atocha and Príncipe Pío",https://www.renfe.com/es/es/cercanias/cercanias-madrid/lineas,,30 minutes to Sol (city centre),4 times per hour,2.60 EUR,2.60 EUR,Public transport Bus,"Terminal 1, Terminal 2 and Terminal 4",Airport Express,EMT,"O’Donnell, Plaza de Cibeles and Atocha",https://www.emtmadrid.es/Aeropuerto?lang=en-GB,,30 minutes to Plaza de Cibeles (city centre),every 15 to 20 minutes,5.00 EUR,5.00 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Charles de Gaulle Airport,Mar 2025,CDG,LFPG,France,Europe,"95700 Roissy-en-France, France",northeast of Paris,Charles de Gaulle Airport and Roissy Airport,"3 (T1, T2 and T3)","67,421,316",Groupe ADP,,"If you have time and you want to save money, you can take bus line 350 to Porte de la Chapelle followed by bus line 38 to Châtelet (city centre). It will take you 1 hour and 45 minutes, but a so called Bus-Tram Ticket costs only 1.00 EUR for adults and 1.00 EUR for children from 4 up to 9 years.",,3.6,71.7,Terminal 1 (Level 5) and Terminal 2 (Parking EF),20,17,22,no,1,Paris,Place De La Concorde,26,16.2,4,Public transport Train,35 minutes,13 EUR per person,Public transport Bus + metro,1 hour and 25 minutes,4.50 EUR per person,45 minutes,65 EUR,Public transport Train,Aéroport Charles de Gaulle 2 train station (T2) and Aéroport Charles de Gaulle train station (T1 and T3) ,RER train line B,RER / RATP,"Gare du Nord, Châtelet - Les Halles, Saint-Michel Notre-Dame and Denfert Rochereau",https://www.parisaeroport.fr/en/passengers/transport-parking/public-transport-paris/rer-b/cdg,,35 minutes to Châtelet - Les Halles (city centre),every 10 to 15 minutes,13 EUR,6.50 EUR (from 4 up to 9 years),Public transport Bus,"Terminal 1, Terminal 3, Terminal 2BD, Terminal 2AC, Terminal 2EF, Terminal 2E and Terminal 2F",Roissybus,RATP,Opéra,https://www.parisaeroport.fr/en/passengers/transport-parking/public-transport-paris/roissybus/cdg,,60 minutes to Opéra (city centre),every 15 to 20 minutes,13.00 EUR,6.50 EUR (from 4 up to 9 years),Public transport Bus + metro,"Terminal 2, Terminal 3 / Roissypole and Terminal 1",Bus line 350 + metro line 12,RATP / Paris Métro,"Porte de la Chapelle, Notre-Dame-de-Lorette and Concorde",https://www.ratp.fr/en/plans-lignes/busratp/350,,1 hour and 25 minutes to Concorde (city centre),every 15 to 35 minutes,4.50 EUR,2.25 EUR (from 4 up to 9 years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Fiumicino Airport,Apr 2024,FCO,LIRF,Italy,Europe,"Via dell'Aeroporto di Fiumicino 320, 00054 Fiumicino RM, Italy",west of Rome,Leonardo da Vinci International Airport and Fiumicino Airport,2 (T1 and T3),"40,545,240",ADR Aeroporti di Roma ,,,,4.2,49.2,Airport Office Tower 2 close to terminals T1 and T3,16,14,17,yes,1,Rome,Piazza Navona,30,18.6,4,Public transport Train - Leonardo Express,32 minutes,14 EUR per person,Bus service - Terravision,55 minutes,6.50 EUR per person,40 minutes,55 EUR,Public transport Train,Fiumicino Aeroporto railway station opposite T1 and T3,Leonardo Express,Trenitalia,Roma Termini,https://www.trenitalia.com/en/services/fiumicino_airport.html,,32 minutes to Roma Termini,every 15 minutes,14 EUR,14 EUR,Public transport Train + metro,Fiumicino Aeroporto railway station opposite T1 and T3,FL1 regional train + metro line B,Trenitalia / Metropolitana di Roma,"Roma Trastevere, Roma Ostiense, Roma Tuscolana, Roma Tiburtina  and Roma Termini",https://www.trenitalia.com/en.html,,45 minutes to Colosseo (city centre),every 15 minutes,9.50 EUR,9.50 EUR,Bus service,Terravision bus stop 14 in front of Terminal 3,Terravision,Terravision,Roma Termini,https://www.terravision.eu/airport_transfer/bus-fiumicino-airport-rome/,,55 minutes to Roma Termini,every 30 minutes,6.50 EUR,6.50 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basel Mulhouse Freiburg Airport,Feb 2024,BSL,LFSB,Switzerland,Europe,"BP 60120, 68304 Saint-Louis Cedex, France",northwest of Basel,"EuroAirport, Basel Airport and Basel Mulhouse Airport",1,"8,087,088",,,,,3.8,12.0,"French sector (hall 1, level 2) and Swiss sector (hall 4, level 2)",33,28,36,no,3,Basel,Basler Münster,6,3.7,2,Taxi,12 minutes,50 CHF,Public transport Bus,18 minutes,6.60 CHF per person,12 minutes,50 CHF,Public transport Bus,"Basel EuroAirport CH bus stop, in front of terminal (Swiss sector)",Bus line 50,BVB,Basel Bahnhof SBB,https://www.bvb.ch/de/fahrplan/haltestellen-fahrplan/,,18 minutes to Basel Bahnhof SBB (city centre),every 10 minutes,6.60 CHF,4.20 CHF,,,,,,,,,,,,,,,,,,,,,,,Mulhouse,Temple Saint-Étienne,30,18.6,2,Taxi,25 minutes,50 EUR,Public transport Bus + train,45 minutes,9.90 EUR per person,25 minutes,50 EUR,Public transport Bus + train,"Basel EuroAirport FR bus stop, in front of terminal (French sector)",Distribus line 11 (Navette EuroAirport) + train,Distribus and SNCF,Saint-Louis and Mulhouse,https://www.distribus.com/se-deplacer/navette-euroairport,,45 minutes to Mulhouse Gare Centrale (city centre),every 15 to 30 minutes,9.90 EUR,9.90 EUR,,,,,,,,,,,,,,,,,,,,,,,Freiburg,Altstadt,75,46.6,2,Taxi,50 minutes,125 EUR,Bus service - FlixBus,55 minutes,24.99 EUR per person,50 minutes,125 EUR,Bus service,"FlixBus bus stop, in front of terminal (French sector)",FlixBus,FlixBus,Busbahnhof ZOB am Freiburg Hauptbahnhof,https://www.flixbus.com/bus/basel-euroairport,,55 minutes to Busbahnhof ZOB am Freiburg Hauptbahnhof,1 time per hour,24.99 EUR,24.99 EUR,,,,,,,,,,,,,,,,,,,,,,
Podgorica Airport,May 2024,TGD,LYPG,Montenegro,Europe,"81000 Podgorica, Montenegro",south of Podgorica,Golubovci Airport,1,"1,657,522",Airports of Montenegro,,,,3.0,3.0,Arrivals hall,10,9,11,yes,1,Podgorica,Independence Square,11,6.8,1,Taxi,20 minutes,15 EUR,,,,20 minutes,15 EUR,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tivat Airport,May 2024,TIV,LYTV,Montenegro,Europe,"85320 Tivat, Montenegro",southeast of Tivat,Tivat International Airport,2 (T1 and T2),"848,188",Airports of Montenegro,,,,2.5,3.7,Terminal 1 Departures hall,12,10,13,yes,3,Tivat,Pine,3,1.9,1,Taxi,7 minutes,10 EUR,,,,7 minutes,10 EUR,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kotor,Sea Gate,8,5.0,1,Taxi,15 minutes,20 EUR,,,,15 minutes,20 EUR,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Budva,Old Town,21,13.0,1,Taxi,30 minutes,30 EUR,,,,30 minutes,30 EUR,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trapani Airport,Oct 2024,TPS,LICT,Italy,Europe,"91020 Trapani TP, Italy",south of Trapani,Trapani Birgi Airport and Vincenzo Florio Airport,1,"1,332,860",,,,,3.8,3.7,Arrivals hall,20,17,22,yes,2,Trapani,Corso Vittorio Emanuele,18,11.2,2,Taxi,30 minutes,35 EUR,Public transport Bus,40 minutes,4.90 EUR per person,30 minutes,35 EUR,Public transport Bus,"Trapani Airport bus station (Fermata autobus AST / Salemi / Lumia), 250 metres from the terminal",Local bus,AST,city centre and Trapani Port,http://www.aziendasicilianatrasporti.it/,,40 minutes to city centre,1 time per hour,4.90 EUR,4.90 EUR,,,,,,,,,,,,,,,,,,,,,,,Marsala,Porta Garibaldi,16,9.9,2,Taxi,25 minutes,35 EUR,Bus service - Bus SS115 / Bus SP21 Autoservizi Salemi,30 minutes,2.50 EUR per person,25 minutes,35 EUR,Bus service,"Trapani Airport bus station (Fermata autobus AST / Salemi / Lumia), 250 metres from the terminal",Bus SS115 / Bus SP21,Autoservizi Salemi,"Via Trapani, Via Dante Alighieri and Stazione F.S.",https://www.autoservizisalemi.it/en/destinazioni/linea/aeroporti/trapani-birgi-palermo/,,30 minutes to Marsala Train Station,7 to 9 times per day,2.50 EUR,2.50 EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comiso Airport,Oct 2024,CIY,LICB,Italy,Europe,"Strada Provinciale 5, 97013 Comiso RG, Italy",north of Comiso,Vincenzo Magliocco Airport and Pio La Torre Airport,1,"303,414",,,,,3.9,1.3,Arrivals hall,32,27,35,yes,3,Comiso,Piazza Fonte Diana,7,4.3,1,Taxi,15 minutes,25 EUR,,,,15 minutes,25 EUR,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ragusa,Cattedrale di San Giovanni Battista,26,16.2,1,Taxi,30 minutes,50 EUR,,,,30 minutes,50 EUR,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modica,Corso Umberto I,43,26.7,1,Taxi,45 minutes,75 EUR,,,,45 minutes,75 EUR,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
